Model,Idea 0: Prop to 2nd,Idea 1: p-val (delta_p),Idea 2: Coef (p1),Idea 3: p-val (delta_H),M1.51: Coef (p1^2)
claude-3-5-sonnet-20241022,,,,,
claude-3-haiku-20240307,,,,,
claude-3-sonnet-20240229,,,,,
claude-sonnet-4-20250514,,,,,
deepseek-chat,,,,,
gemini-1.5-pro,,,,,
gemini-2.0-flash-001,"(0.6562, 0.5399, 0.7726, 5.356e-08)","(0.000907,)",,"(0.000403,)",
gpt-4.1-2025-04-14,"(0.5745, 0.4331, 0.7158, 0.0008271)","(0.00254,)",,"(0.0076,)",
gpt-4o-2024-08-06,"(0.4381, 0.3432, 0.533, 0.03049)","(0.252,)",,"(1.02e-08,)",
grok-3-latest,"(0.6705, 0.5722, 0.7687, 1.72e-11)","(0.00835,)",,"(0.31,)",
