model,experiment,ΔH_raw,ΔH_Cohen_d,H_wrong,H_right,n_wrong_kept,n_right_kept,H_all_right,H_all_wrong,H_all_gap,H_all_gap_Cohen_d,NPCP_ch,NPCP
"gemini-2.0-flash-001 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",GPSA,0.04299551234844656,0.40889410210256355,0.15389034650302014,0.11089483415457357,150,53,0.11606317628866096,0.16933646435317518,0.053273288064514215,0.5080119905772288,-0.5294117647058824,-0.08866995073891626
"gpt-4.1-2025-04-14 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",GPSA,0.03464249611185222,0.4008940256431059,0.18893611893577006,0.15429362282391784,266,108,0.15760647549824178,0.19570964438801092,0.03810316888976914,0.4411819256152373,-0.4246575342465754,-0.08288770053475936
"gpt-4o-2024-08-06 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",GPSA,0.021906471293548876,0.2565796377020511,0.1388265459183084,0.11692007462475952,53,22,0.1284922295492277,0.17191188284904182,0.04341965329981412,0.529688167288682,0.0,0.0
"grok-3-latest (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",GPSA,0.014584293731410097,0.21611783450604377,0.09489777453281491,0.08031348080140481,181,56,0.07208460851291662,0.10058586587675407,0.02850125736383745,0.43916531467283604,-0.09090909090909094,-0.008438818565400843
"gemini-2.0-flash-001 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",GPQA,0.10696106531185881,0.3599362602712166,0.17992635820620567,0.07296529289434686,98,131,0.15410055452947438,0.33734191645826317,0.1832413619287888,0.45966735859969116,0.17647058823529416,0.013100436681222707
"gpt-4.1-2025-04-14 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",GPQA,0.28069212710618036,0.6254327498173291,0.4438281625995186,0.16313603549333827,227,201,0.1733098771215166,0.45129105009775505,0.2779811729762385,0.6084245256644777,0.04444444444444451,0.009345794392523364
"gpt-4o-2024-08-06 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",GPQA,0.4257021880179081,0.7539101581758025,0.8361023482488487,0.41040016023094056,155,137,0.5516685022006776,0.9955448718282615,0.4438763696275838,0.7432765781105043,-0.052631578947368474,-0.00684931506849315
"grok-3-latest (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",GPQA,0.20288689934784027,0.6133503395219327,0.31240719088509084,0.10952029153725056,103,124,0.15919801241431056,0.4084950691567868,0.24929705674247624,0.6700287035685235,-0.5384615384615384,-0.030837004405286344
"gemini-2.0-flash-001 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",SimpleQA,0.049241631994333984,0.44459428472678164,0.11423722488304744,0.06499559288871345,43,28,0.06087070360414924,0.1842300189293876,0.12335931532523835,1.081576524577824,-0.5384615384615384,-0.09859154929577464
"gpt-4.1-2025-04-14 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",SimpleQA,0.06613531443497933,0.5828424975618854,0.1500228401022546,0.08388752566727528,270,173,0.08288617728062714,0.15104038857353455,0.06815421129290741,0.609628827742033,-0.2592592592592593,-0.03160270880361174
"gpt-4o-2024-08-06 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",SimpleQA,0.03531051278789418,0.44798911230647925,0.1214375011243813,0.08612698833648712,12,15,0.06771164138645591,0.13462799090441532,0.06691634951795941,0.7645395924388743,0.0,0.0
"grok-3-latest (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",SimpleQA,0.057015783608092924,0.5688246584512597,0.10718055600184288,0.05016477239374996,80,81,0.06380481662739308,0.16206597918705276,0.09826116255965968,0.8628296710023663,-0.2941176470588235,-0.031055900621118012
"gemini-2.0-flash-001 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",SimpleMC,0.09721420998995348,0.31197065386282147,0.19323012146303367,0.0960159114730802,42,51,0.26534256085616087,0.3615039909331888,0.09616143007702793,0.2243044188011958,-0.5714285714285714,-0.08602150537634409
"gpt-4.1-2025-04-14 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",SimpleMC,0.32633372048305814,0.6334630556817711,0.6026919428742005,0.2763582223911423,224,246,0.2957139590421511,0.6136415689578034,0.31792760991565233,0.6074733315936005,-0.24528301886792447,-0.027659574468085105
"gpt-4o-2024-08-06 (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",SimpleMC,0.3985747222100896,0.6927753329924475,0.8589294649178536,0.460354742707764,143,180,0.6087987497859746,1.0529879415139631,0.44418919172798854,0.7336745110438561,-0.2682926829268293,-0.034055727554179564
"grok-3-latest (NoMsgHist, NoQCtr, NoPCtr, NoSCtr, 1 game files)",SimpleMC,0.12402199220463929,0.4207228171896952,0.22840262418057758,0.10438063197593829,28,70,0.2837901847608717,0.6131817820855744,0.3293915973247027,0.7413050940383507,-0.6,-0.030612244897959183
