model,experiment,ΔH_raw,ΔH_Cohen_d,H_wrong,H_right,n_wrong_kept,n_right_kept,H_all_right,H_all_wrong,H_all_gap,H_all_gap_Cohen_d,NPCP_ch,NPCP
"gemini-2.0-flash-001 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",SimpleMC,-0.005144082594241178,-0.01406790475239245,0.21446237105061772,0.2196064536448589,50,54,0.27395803202494085,0.3588695921752163,0.08491156015027546,0.19629434344334448,-0.5862068965517242,-0.16346153846153846
"gpt-4.1-2025-04-14 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",SimpleMC,0.2780432662249172,0.5446462070342135,0.5433278829514908,0.2652846167265736,171,198,0.313858517209147,0.604878106261865,0.291019589052718,0.5539851865705011,-0.3214285714285714,-0.04878048780487805
"gpt-4o-2024-08-06 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",SimpleMC,0.40291565661086925,0.7831771819194377,0.6701051608662537,0.26718950425538446,49,88,0.6295110202031732,1.0538841281405995,0.42437310793742633,0.6902626414512419,-0.04347826086956519,-0.0072992700729927005
"grok-3-latest (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",SimpleMC,0.2190616354104229,0.6047335945546018,0.37030266624079006,0.15124103083036716,70,158,0.2822505506674589,0.6256088473689365,0.3433582967014776,0.7579339409988085,0.09090909090909083,0.008771929824561403
"gemini-2.0-flash-001 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",SimpleQA,0.111146638097491,1.1008756471180958,0.15142374167595,0.040277103578459,51,24,0.06240906441497305,0.1818756222672623,0.11946655785228927,1.0492938241559855,-0.3846153846153846,-0.06666666666666667
"gpt-4.1-2025-04-14 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",SimpleQA,0.05159720167234938,0.4542321049766594,0.13700297240270495,0.08540577073035557,154,119,0.08219711806148933,0.14605131719465247,0.06385419913316315,0.5732236078047196,-0.42105263157894735,-0.05860805860805861
"gpt-4o-2024-08-06 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",SimpleQA,0.07443830511259865,0.7150440286778253,0.1525201265490997,0.07808182143650104,144,80,0.07008501916825118,0.13740252698789918,0.067317507819648,0.7410061378258457,-0.2195121951219512,-0.04017857142857143
"grok-3-latest (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",SimpleQA,0.0709186203976918,0.5808988600891108,0.114689116936485,0.0437704965387932,15,17,0.062066048674321785,0.16288946735908455,0.10082341868476277,0.8746479897504091,-0.6,-0.09375
"gemini-2.0-flash-001 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",GPQA,0.17083008327073954,0.5997877914030735,0.21801607153153602,0.04718598826079647,34,61,0.15253062468756906,0.3359978780140494,0.18346725332648034,0.4613766942073009,-0.19999999999999996,-0.031578947368421054
"gpt-4.1-2025-04-14 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",GPQA,0.2902728630569831,0.644414016355643,0.4477355509389096,0.1574626878819265,203,180,0.18024434077662194,0.4616655662742996,0.2814212254976777,0.6014496898159177,0.12359550561797761,0.028720626631853787
"gpt-4o-2024-08-06 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",GPQA,0.4345309500981233,0.7775595014805053,0.7979169543474692,0.3633860042493459,93,94,0.5732916939088141,0.9968052334185326,0.4235135395097185,0.706688416359325,-0.06382978723404253,-0.016042780748663103
"grok-3-latest (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",GPQA,0.1510050058141777,0.6273253769439403,0.19019279866319522,0.03918779284901751,27,44,0.16846444294860477,0.40256398236954244,0.23409953942093767,0.6234839008851907,0.33333333333333326,0.014084507042253521
"meta-llama-Meta-Llama-3.1-405B-Instruct (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 2 game files)",GPQA,0.2715850884452117,0.47537750885984115,0.8843966114753684,0.6128115230301567,349,272,0.6267514319615476,0.9066370077040372,0.2798855757424896,0.4847286664580048,-0.6648648648648648,-0.19806763285024154
"gemini-2.0-flash-001 (Feedback_False, Non_Redacted, NoSubjAccOverride, NoSubjGameOverride, NotRandomized, WithHistory, NotFiltered, 1 game files)",GPSA,0.052937930483264325,0.5210857569443575,0.13957722589729274,0.08663929541402841,29,7,0.11737376032697913,0.17504032211569442,0.05766656178871529,0.5411793887483068,0.5,0.1111111111111111
