Model,Condition,Idea 0: Prop,Idea 0: CI,Idea 0: p-val,Idea 1: p-val,Idea 2: Coef,Idea 2: CI,Idea 2: p-val,Idea 3: p-val,Idea 4: p-val,Idea 4.5: p-val,Idea 5: p-val,M1.51: Coef,M1.51: CI,M1.51: p-val
claude-3-5-sonnet-20241022,"Redacted, Correct",,,,,,,,,,,,,,
claude-3-5-sonnet-20241022,"Redacted, Incorrect",,,,,,,,,,,,,,
claude-3-haiku-20240307,"Redacted, Correct",,,,,,,,,,,,,,
claude-3-haiku-20240307,"Redacted, Incorrect",,,,,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Correct",,,,,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Incorrect",,,,,,,,,,,,,,
deepseek-chat,"Redacted, Correct",,,,,,,,,,,0.1407727733713501,,,
deepseek-chat,"Redacted, Incorrect",,,,,,,,,,,0.00042587434250762683,,,
gemini-1.5-pro,"Redacted, Correct",,,,,,,,,,,,,,
gemini-1.5-pro,"Redacted, Incorrect",,,,,,,,,,,,,,
gemini-2.0-flash-001,"Redacted, Correct",,,,,,,,,,,0.010771655045543806,,,
gemini-2.0-flash-001,"Redacted, Incorrect",,,,,,,,,,,5.916564538332424e-07,,,
gpt-4.1-2025-04-14,"Redacted, Correct",,,,,,,,,,,4.17488601048621e-10,,,
gpt-4.1-2025-04-14,"Redacted, Incorrect",,,,,,,,,,,3.360189307371709e-24,,,
gpt-4o-2024-08-06,"Redacted, Correct",,,,,,,,,,,2.0406441763043404e-06,,,
gpt-4o-2024-08-06,"Redacted, Incorrect",,,,,,,,,,,2.6356048899886413e-18,,,
grok-3-latest,"Redacted, Correct",,,,,,,,,,,1.7019216293680856e-08,,,
grok-3-latest,"Redacted, Incorrect",,,,,,,,,,,1.8423798450386025e-34,,,
