Model,Condition,Idea 0: Prop,Idea 0: CI,Idea 0: p-val,Idea 1: p-val,Idea 2: Coef,Idea 2: CI,Idea 2: p-val,Idea 3: p-val,Idea 4: p-val,Idea 4.5: p-val,Idea 5: p-val,M1.51: Coef,M1.51: CI,M1.51: p-val
claude-3-5-sonnet-20241022,"Redacted, Correct",0.6842105263157895,"[0.536, 0.832]",3.267971717477671e-06,0.7559497454142141,0.34887881088824546,"[0.261, 0.436]",7.796412752716647e-14,0.7713615312610778,0.9338066547290207,0.17926149615148146,0.8954899325863714,-0.43294157111637754,"[-0.885, 0.019]",0.06039688465650434
claude-3-5-sonnet-20241022,"Redacted, Incorrect",0.6521739130434783,"[0.540, 0.765]",2.6857877617595808e-08,0.7215242358815903,0.39615371867005233,"[0.281, 0.512]",1.5068760157862416e-10,0.08131920050623295,0.0034341462645290886,1.4406116727041773e-08,0.020007297242216265,-0.026995143195702394,"[-0.418, 0.364]",0.8922472976925602
claude-3-haiku-20240307,"Redacted, Correct",0.5555555555555556,"[0.368, 0.743]",0.020136751550346305,0.8695832540802633,0.5893507275592487,"[0.399, 0.780]",8.174160340265497e-09,0.46940467986507084,0.8245509386173013,0.03892231568176111,0.3301685218374557,-0.017623195391114885,"[-0.413, 0.378]",0.9303817758140793
claude-3-haiku-20240307,"Redacted, Incorrect",0.5061728395061729,"[0.397, 0.615]",0.0018623517882976758,0.0021108041287242543,0.699292898531956,"[0.552, 0.846]",1.0712130300550017e-18,0.09529638743575149,0.0006505855493294518,9.629192550990908e-08,2.4243732135048817e-07,0.15223206544629012,"[-0.148, 0.452]",0.3196165978292078
claude-3-sonnet-20240229,"Redacted, Correct",,,,,,,,,,,,,,
claude-3-sonnet-20240229,"Redacted, Incorrect",,,,,,,,,,,,,,
claude-opus-4-1-20250805,"Redacted, Correct",,,,,,,,,,,,,,
claude-opus-4-1-20250805,"Redacted, Incorrect",,,,,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Correct",,,,,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Incorrect",,,,,,,,,,,,,,
deepseek-chat,"Redacted, Correct",0.4,"[0.225, 0.575]",0.45605654025025566,1.1372397606720376e-31,0.9763231676180338,"[0.703, 1.250]",2.0220578081004893e-11,2.4634103503081752e-11,0.21306662828065315,1.0556748614808784e-13,1.7779682596125218e-06,-0.2725066443776393,"[-0.751, 0.206]",0.26421113131827956
deepseek-chat,"Redacted, Incorrect",0.29508196721311475,"[0.181, 0.410]",0.5124386976869989,7.038978646760358e-19,1.1977247596789253,"[0.886, 1.509]",8.19927203918494e-13,7.50174891192845e-09,3.6402061450865293e-11,3.121027822710864e-11,2.5715214033536116e-17,-0.3927913187310471,"[-0.742, -0.044]",0.027272596249737262
gemini-1.5-pro,"Redacted, Correct",,,,,,,,,,,,,,
gemini-1.5-pro,"Redacted, Incorrect",,,,,,,,,,,,,,
gemini-2.0-flash-001,"Redacted, Correct",0.5142857142857142,"[0.349, 0.680]",0.03219896389619683,0.0001231003961598133,-0.15087278629979808,"[-0.530, 0.228]",0.4315754524969886,0.009200576737368366,5.2829000274784214e-08,0.0509699254637876,1.8110902560318144e-05,-0.06871294436323891,"[-0.424, 0.287]",0.7048594758719446
gemini-2.0-flash-001,"Redacted, Incorrect",0.5903614457831325,"[0.485, 0.696]",1.919873117776717e-06,1.2174403884326461e-05,0.02149374395877439,"[-0.252, 0.295]",0.8769101359167519,0.6394302716089514,2.0184298422306077e-05,0.378743181928182,0.0010384368326755208,-0.3672376033603366,"[-0.668, -0.067]",0.01656961222018366
gemini-2.5-flash-lite_nothink,"Redacted, Correct",0.32432432432432434,"[0.173, 0.475]",0.9068102728680962,3.5318911651603108e-06,0.2739145580607874,"[0.074, 0.474]",0.0074951078884453945,0.6761704362500989,4.614539221196907e-12,0.4171351840460866,3.161978152754951e-14,-0.5131498740384701,"[-1.031, 0.005]",0.05203113853532268
gemini-2.5-flash-lite_nothink,"Redacted, Incorrect",0.37606837606837606,"[0.288, 0.464]",0.33994265729346096,0.18566731810578674,0.24110648412966262,"[0.034, 0.448]",0.022611115094209065,0.8881957246017818,1.6824708903860513e-07,0.020013799304361073,2.5940156173324883e-12,-0.3750349258826708,"[-0.676, -0.074]",0.014603583936623239
