Model,Condition,Idea 0: Prop,Idea 0: CI,Idea 0: p-val,Idea 1: p-val,Idea 2: Coef,Idea 2: CI,Idea 2: p-val,Idea 3: p-val,Idea 4: p-val,Idea 4.5: p-val,Idea 5: p-val,M1.51: Coef,M1.51: CI,M1.51: p-val
claude-3-5-sonnet-20241022,"Redacted, Correct",,,,,,,,,,,,,,
claude-3-5-sonnet-20241022,"Redacted, Incorrect",,,,,,,,,,,,,,
claude-3-haiku-20240307,"Redacted, Correct",,,,,,,,,,,,,,
claude-3-haiku-20240307,"Redacted, Incorrect",,,,,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Correct",,,,,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Incorrect",,,,,,,,,,,,,,
deepseek-chat,"Redacted, Correct",,,,,,,,,,,0.31731050786291415,,,
deepseek-chat,"Redacted, Incorrect",,,,,,,,,,,0.0009111188771537128,,,
gemini-1.5-pro,"Redacted, Correct",,,,,,,,,,,,,,
gemini-1.5-pro,"Redacted, Incorrect",,,,,,,,,,,,,,
gemini-2.0-flash-001,"Redacted, Correct",,,,,,,,,,,0.693617507393502,,,
gemini-2.0-flash-001,"Redacted, Incorrect",,,,,,,,,,,0.0008338138929740466,,,
gpt-4.1-2025-04-14,"Redacted, Correct",,,,,,,,,,,7.311967077181357e-29,,,
gpt-4.1-2025-04-14,"Redacted, Incorrect",,,,,,,,,,,1.4898680508771177e-51,,,
gpt-4o-2024-08-06,"Redacted, Correct",,,,,,,,,,,0.0006849746765155271,,,
gpt-4o-2024-08-06,"Redacted, Incorrect",,,,,,,,,,,3.377198506599812e-14,,,
grok-3-latest,"Redacted, Correct",,,,,,,,,,,0.00020862822664253618,,,
grok-3-latest,"Redacted, Incorrect",,,,,,,,,,,2.9758210987679464e-09,,,
