family,run,dataset,correctness,entropy_coef,entropy_p,p1_coef,p1_p,p1z_coef,p1z_p,p1z2_coef,p1z2_p,pseudo_1.4,pseudo_1.5,pseudo_1.51
gemini,gemini-2.0-flash-001,GPQA,Correct,2.3291,0.0,1.7185,0.001,1.8447,0.0,-2.1838,0.0,0.08466,0.1604,0.1922
gemini,gemini-2.0-flash-001,GPQA,Incorrect,1.5817,0.0,0.7099,0.029,-0.2262,0.236,-1.3394,0.0,0.01551,0.09112,0.08499
gpt,gpt-4.1-2025-04-14,GPQA,Correct,1.8303,0.0,-4.8821,0.0,-1.3543,0.0,-0.2894,0.023,0.06591,0.08698,0.08908
gpt,gpt-4.1-2025-04-14,GPQA,Incorrect,1.1038,0.0,-3.32,0.0,-0.6856,0.004,-0.068,0.699,0.06117,0.05755,0.06162
gpt,gpt-4o-2024-08-06,GPQA,Correct,2.7262,0.0,-2.2686,0.0,-2.6566,0.0,-1.2738,0.0,0.08246,0.3398,0.301
gpt,gpt-4o-2024-08-06,GPQA,Incorrect,0.9409,0.0,-1.7053,0.005,-0.5359,0.0,-0.5936,0.0,0.02291,0.04816,0.07894
grok,grok-3-latest,GPQA,Correct,2.8227,0.0,-0.7996,0.288,-2.7192,0.0,-1.2868,0.069,0.006393,0.1516,0.1537
grok,grok-3-latest,GPQA,Incorrect,1.7106,0.0,-1.0778,0.057,-1.4823,0.0,-0.5574,0.0,0.01188,0.09551,0.1083
gemini,gemini-2.0-flash-001,SimpleMC,Correct,2.1995,0.0,1.494,0.0,0.5885,0.002,-1.5919,0.0,0.06849,0.1246,0.138
gemini,gemini-2.0-flash-001,SimpleMC,Incorrect,0.9252,0.001,0.4558,0.137,-0.3506,0.087,-0.7935,0.001,0.00603,0.03301,0.03773
gpt,gpt-4.1-2025-04-14,SimpleMC,Correct,0.8141,0.004,-2.2514,0.01,-0.6656,0.03,-0.2034,0.237,0.02138,0.02675,0.02593
gpt,gpt-4.1-2025-04-14,SimpleMC,Incorrect,0.9034,0.0,-2.5571,0.0,-0.5328,0.004,-0.0393,0.816,0.04171,0.04436,0.04187
gpt,gpt-4o-2024-08-06,SimpleMC,Correct,2.1711,0.0,-1.8532,0.001,-2.186,0.0,-1.1666,0.0,0.05359,0.2369,0.2307
gpt,gpt-4o-2024-08-06,SimpleMC,Incorrect,1.9954,0.0,-4.6136,0.0,-1.1386,0.0,-0.3214,0.007,0.132,0.1538,0.1534
grok,grok-3-latest,SimpleMC,Correct,2.1199,0.0,-3.4529,0.0,-1.7627,0.0,-0.496,0.013,0.07252,0.1499,0.152
grok,grok-3-latest,SimpleMC,Incorrect,1.3283,0.0,-3.7729,0.0,,,,,0.06978,0.06517,0.07802
